d1,d2,i
DB00292,DB00341,1
DB00292,DB00356,1
DB00292,DB00363,1
DB00292,DB00366,1
DB00292,DB00371,1
DB00292,DB00373,1
DB00292,DB00391,1
DB00292,DB00395,1
DB00292,DB00402,1
DB00292,DB00408,1
DB00292,DB00413,1
DB00292,DB00423,1
DB00292,DB00425,1
DB00292,DB00427,1
DB00292,DB00433,1
DB00292,DB00434,1
DB00292,DB00450,1
DB00292,DB00454,1
DB00292,DB00455,1
DB00292,DB00470,1
DB00292,DB00475,1
DB00292,DB00489,1
DB00292,DB00490,1
DB00292,DB00494,1
DB00292,DB00497,1
DB00292,DB00521,1
DB00292,DB00543,1
DB00292,DB00555,1
DB00292,DB00557,1
DB00292,DB00575,1
DB00292,DB00593,1
DB00292,DB00599,1
DB00292,DB00611,1
DB00292,DB00612,1
DB00292,DB00623,1
DB00292,DB00628,1
DB00292,DB00633,1
DB00292,DB00647,1
DB00292,DB00652,1
DB00292,DB00656,1
DB00292,DB00660,1
DB00292,DB00679,1
DB00292,DB00690,1
DB00292,DB00697,1
DB00292,DB00708,1
DB00292,DB00737,1
DB00292,DB00747,1
DB00292,DB00753,1
DB00292,DB00802,1
DB00292,DB00813,1
DB00292,DB00818,1
DB00292,DB00829,1
DB00292,DB00831,1
DB00292,DB00842,1
DB00292,DB00844,1
DB00292,DB00850,1
DB00292,DB00906,1
DB00292,DB00909,1
DB00292,DB00921,1
DB00292,DB00934,1
DB00292,DB00949,1
DB00292,DB00960,1
DB00292,DB00961,1
DB00292,DB00962,1
DB00292,DB00967,1
DB00292,DB00980,1
DB00292,DB00985,1
DB00292,DB00996,1
DB00292,DB01002,1
DB00292,DB01018,1
DB00292,DB01041,1
DB00292,DB01065,1
DB00292,DB01068,1
DB00292,DB01069,1
DB00292,DB01080,1
DB00292,DB01081,1
DB00292,DB01100,1
DB00292,DB01106,1
DB00292,DB01114,1
DB00292,DB01173,1
DB00292,DB01175,1
DB00292,DB01176,1
DB00292,DB01189,1
DB00292,DB01192,1
DB00292,DB01193,1
DB00292,DB01198,1
DB00292,DB01202,1
DB00292,DB01203,1
DB00292,DB01215,1
DB00292,DB01219,1
DB00292,DB01221,1
DB00292,DB01224,1
DB00292,DB01235,1
DB00292,DB01236,1
DB00292,DB01238,1
DB00292,DB01239,1
DB00292,DB01267,1
DB00292,DB01440,1
DB00292,DB01452,1
DB00292,DB01544,1
DB00292,DB01545,1
DB00292,DB01551,1
DB00292,DB01558,1
DB00292,DB01563,1
DB00292,DB01588,1
DB00292,DB01589,1
DB00292,DB01595,1
DB00292,DB01623,1
DB00292,DB02665,1
DB00292,DB04844,1
DB00292,DB05271,1
DB00292,DB06148,-1
DB00292,DB06288,1
DB00292,DB06700,-1
DB00294,DB00197,-1
DB00294,DB00278,-1
DB00294,DB00284,-1
DB00294,DB00331,-1
DB00294,DB00419,-1
DB00294,DB00491,-1
DB00294,DB00607,-1
DB00294,DB00648,-1
DB00294,DB00672,-1
DB00294,DB00731,-1
DB00294,DB00745,-1
DB00294,DB01016,-1
DB00294,DB01067,-1
DB00294,DB01120,-1
DB00294,DB01132,-1
DB00294,DB01251,-1
DB00294,DB01252,-1
DB00294,DB01261,-1
DB00294,DB02703,1
DB00294,DB04876,-1
DB00294,DB04878,-1
DB00296,DB00181,1
DB00296,DB00186,1
DB00296,DB00230,1
DB00296,DB00231,1
DB00296,DB00241,1
DB00296,DB00273,1
DB00296,DB00277,-1
DB00296,DB00292,1
DB00296,DB00297,1
DB00296,DB00300,-1
DB00296,DB00313,1
DB00296,DB00323,1
DB00296,DB00327,1
DB00296,DB00341,1
DB00296,DB00356,1
DB00296,DB00363,-1
DB00296,DB00366,1
DB00296,DB00371,1
DB00296,DB00379,-1
DB00296,DB00391,1
DB00296,DB00395,1
DB00296,DB00402,1
DB00296,DB00408,1
DB00296,DB00413,1
DB00296,DB00423,1
DB00296,DB00425,1
DB00296,DB00427,1
DB00296,DB00433,1
DB00296,DB00434,1
DB00296,DB00450,1
DB00296,DB00454,1
DB00296,DB00455,1
DB00296,DB00470,1
DB00296,DB00475,1
DB00296,DB00490,1
DB00296,DB00494,1
DB00296,DB00497,1
DB00296,DB00543,1
DB00296,DB00555,1
DB00296,DB00557,1
DB00296,DB00575,1
DB00296,DB00593,1
DB00296,DB00599,1
DB00296,DB00607,-1
DB00296,DB00611,1
DB00296,DB00623,1
DB00296,DB00628,1
DB00296,DB00633,1
DB00296,DB00647,1
DB00296,DB00648,-1
DB00296,DB00652,1
DB00296,DB00656,1
DB00296,DB00660,1
DB00296,DB00679,-1
DB00296,DB00690,1
DB00296,DB00697,1
DB00296,DB00708,1
DB00296,DB00737,1
DB00296,DB00745,-1
DB00296,DB00747,1
DB00296,DB00753,1
DB00296,DB00758,-1
DB00296,DB00802,1
DB00296,DB00813,1
DB00296,DB00818,1
DB00296,DB00829,1
DB00296,DB00831,1
DB00296,DB00842,1
DB00296,DB00844,1
DB00296,DB00850,1
DB00296,DB00906,1
DB00296,DB00909,1
DB00296,DB00921,1
DB00296,DB00934,1
DB00296,DB00949,1
DB00296,DB00961,1
DB00296,DB00962,1
DB00296,DB00967,1
DB00296,DB00980,1
DB00296,DB00985,1
DB00296,DB00996,1
DB00296,DB01002,1
DB00296,DB01018,1
DB00296,DB01041,1
DB00296,DB01065,1
DB00296,DB01068,1
DB00296,DB01069,1
DB00296,DB01080,1
DB00296,DB01081,1
DB00296,DB01100,1
DB00296,DB01106,1
DB00296,DB01114,1
DB00296,DB01156,-1
DB00296,DB01173,1
DB00296,DB01175,1
DB00296,DB01176,1
DB00296,DB01189,1
DB00296,DB01192,1
DB00296,DB01198,1
DB00296,DB01202,1
DB00296,DB01215,1
DB00296,DB01219,1
DB00296,DB01221,1
DB00296,DB01224,1
DB00296,DB01235,1
DB00296,DB01236,1
DB00296,DB01238,1
DB00296,DB01239,1
DB00296,DB01267,1
DB00296,DB01440,1
DB00296,DB01452,1
DB00296,DB01544,1
DB00296,DB01545,1
DB00296,DB01551,1
DB00296,DB01558,1
DB00296,DB01563,1
DB00296,DB01588,1
DB00296,DB01589,1
DB00296,DB01595,1
DB00296,DB01623,1
DB00296,DB02665,1
DB00296,DB02703,1
DB00296,DB04844,1
DB00296,DB05271,1
DB00296,DB06288,1
DB00296,DB06700,1
DB00297,DB00181,1
DB00297,DB00186,1
DB00297,DB00213,-1
DB00297,DB00230,1
DB00297,DB00231,1
DB00297,DB00241,1
DB00297,DB00273,1
DB00297,DB00277,-1
DB00297,DB00292,1
DB00297,DB00296,1
DB00297,DB00300,-1
DB00297,DB00313,1
DB00297,DB00323,1
DB00297,DB00327,1
DB00297,DB00338,-1
DB00297,DB00341,1
DB00297,DB00356,1
DB00297,DB00363,-1
DB00297,DB00366,1
DB00297,DB00371,1
DB00297,DB00373,1
DB00297,DB00379,-1
DB00297,DB00391,1
DB00297,DB00395,1
DB00297,DB00402,1
DB00297,DB00408,1
DB00297,DB00413,1
DB00297,DB00423,1
DB00297,DB00425,1
DB00297,DB00427,1
DB00297,DB00433,1
DB00297,DB00434,1
DB00297,DB00446,-1
DB00297,DB00450,1
DB00297,DB00454,1
DB00297,DB00455,1
DB00297,DB00470,1
DB00297,DB00475,1
DB00297,DB00489,1
DB00297,DB00490,1
DB00297,DB00494,1
DB00297,DB00497,1
DB00297,DB00521,1
DB00297,DB00543,1
DB00297,DB00555,1
DB00297,DB00557,1
DB00297,DB00575,1
DB00297,DB00593,1
DB00297,DB00599,1
DB00297,DB00607,-1
DB00297,DB00611,1
DB00297,DB00612,1
DB00297,DB00623,1
DB00297,DB00628,1
DB00297,DB00633,1
DB00297,DB00647,1
DB00297,DB00648,-1
DB00297,DB00652,1
DB00297,DB00656,1
DB00297,DB00660,1
DB00297,DB00679,-1
DB00297,DB00690,1
DB00297,DB00697,1
DB00297,DB00708,1
DB00297,DB00736,-1
DB00297,DB00737,1
DB00297,DB00745,-1
DB00297,DB00747,1
DB00297,DB00753,1
DB00297,DB00802,1
DB00297,DB00813,1
DB00297,DB00818,1
DB00297,DB00829,1
DB00297,DB00831,1
DB00297,DB00842,1
DB00297,DB00844,1
DB00297,DB00850,1
DB00297,DB00906,1
DB00297,DB00909,1
DB00297,DB00921,1
DB00297,DB00934,1
DB00297,DB00949,1
DB00297,DB00960,1
DB00297,DB00961,1
DB00297,DB00962,1
DB00297,DB00967,1
DB00297,DB00980,1
DB00297,DB00985,1
DB00297,DB00996,1
DB00297,DB01002,1
DB00297,DB01018,1
DB00297,DB01041,1
DB00297,DB01065,1
DB00297,DB01068,1
DB00297,DB01069,1
DB00297,DB01080,1
DB00297,DB01081,1
DB00297,DB01100,1
DB00297,DB01106,1
DB00297,DB01114,1
DB00297,DB01156,-1
DB00297,DB01171,-1
DB00297,DB01173,1
DB00297,DB01175,1
DB00297,DB01176,1
DB00297,DB01189,1
DB00297,DB01192,1
DB00297,DB01193,1
DB00297,DB01198,1
DB00297,DB01202,1
DB00297,DB01203,1
DB00297,DB01210,1
DB00297,DB01215,1
DB00297,DB01219,1
DB00297,DB01221,1
DB00297,DB01224,1
DB00297,DB01235,1
DB00297,DB01236,1
DB00297,DB01238,1
DB00297,DB01239,1
DB00297,DB01267,1
DB00297,DB01440,1
DB00297,DB01452,1
DB00297,DB01544,1
DB00297,DB01545,1
DB00297,DB01551,1
DB00297,DB01558,1
DB00297,DB01563,1
DB00297,DB01588,1
DB00297,DB01589,1
DB00297,DB01595,1
DB00297,DB01623,1
DB00297,DB02665,1
DB00297,DB02703,1
DB00297,DB04844,1
DB00297,DB05271,1
DB00297,DB06288,1
DB00297,DB06700,1
DB00300,DB00184,-1
DB00300,DB00210,1
DB00300,DB00213,-1
DB00300,DB00244,1
DB00300,DB00261,-1
DB00300,DB00262,-1
DB00300,DB00277,-1
DB00300,DB00296,-1
DB00300,DB00297,-1
DB00300,DB00315,-1
DB00300,DB00338,-1
DB00300,DB00339,-1
DB00300,DB00356,-1
DB00300,DB00363,-1
DB00300,DB00369,-1
DB00300,DB00377,-1
DB00300,DB00379,-1
DB00300,DB00384,-1
DB00300,DB00425,-1
DB00300,DB00435,-1
DB00300,DB00445,1
DB00300,DB00461,1
DB00300,DB00465,1
DB00300,DB00479,1
DB00300,DB00499,-1
DB00300,DB00518,-1
DB00300,DB00526,-1
DB00300,DB00530,-1
DB00300,DB00533,1
DB00300,DB00539,-1
DB00300,DB00568,-1
DB00300,DB00575,-1
DB00300,DB00577,-1
DB00300,DB00580,1
DB00300,DB00604,-1
DB00300,DB00605,1
DB00300,DB00679,-1
DB00300,DB00684,1
DB00300,DB00697,1
DB00300,DB00712,1
DB00300,DB00718,-1
DB00300,DB00724,-1
DB00300,DB00738,-1
DB00300,DB00740,-1
DB00300,DB00744,1
DB00300,DB00749,1
DB00300,DB00758,-1
DB00300,DB00783,-1
DB00300,DB00784,1
DB00300,DB00795,1
DB00300,DB00798,1
DB00300,DB00806,-1
DB00300,DB00818,-1
DB00300,DB00829,-1
DB00300,DB00831,-1
DB00300,DB00850,-1
DB00300,DB00851,-1
DB00300,DB00861,1
DB00300,DB00900,-1
DB00300,DB00917,-1
DB00300,DB00918,-1
DB00300,DB00934,-1
DB00300,DB00953,-1
DB00300,DB00969,-1
DB00300,DB00980,-1
DB00300,DB00991,1
DB00300,DB00998,-1
DB00300,DB01002,-1
DB00300,DB01009,1
DB00300,DB01014,1
DB00300,DB01024,1
DB00300,DB01037,-1
DB00300,DB01041,-1
DB00300,DB01065,-1
DB00300,DB01082,1
DB00300,DB01100,-1
DB00300,DB01156,-1
DB00300,DB01166,-1
DB00300,DB01172,1
DB00300,DB01177,1
DB00300,DB01182,-1
DB00300,DB01184,-1
DB00300,DB01223,-1
DB00300,DB01250,1
DB00300,DB01367,-1
DB00300,DB01399,1
DB00300,DB01407,-1
DB00300,DB01544,-1
DB00300,DB01558,-1
DB00300,DB01600,1
DB00300,DB01623,-1
DB00300,DB01628,1
DB00300,DB03783,-1
DB00300,DB04574,-1
DB00300,DB04743,1
DB00300,DB04817,1
DB00300,DB05271,-1
DB00300,DB06148,-1
DB00300,DB06802,1
DB00300,DB07615,1
DB00301,DB00319,1
DB00301,DB00445,-1
DB00301,DB00479,-1
DB00301,DB00684,-1
DB00301,DB00798,-1
DB00301,DB01024,-1
DB00301,DB01032,1
DB00301,DB01082,-1
DB00301,DB01172,-1
DB00301,DB01177,-1
DB00301,DB01238,-1
DB00302,DB00755,1
DB00303,DB00313,-1
DB00303,DB01032,1
DB00304,DB00197,-1
DB00304,DB00278,-1
DB00304,DB00284,-1
DB00304,DB00331,-1
DB00304,DB00419,-1
DB00304,DB00491,-1
DB00304,DB00672,-1
DB00304,DB00731,-1
DB00304,DB01016,-1
DB00304,DB01067,-1
DB00304,DB01120,-1
DB00304,DB01132,-1
DB00304,DB01251,-1
DB00304,DB01252,-1
DB00304,DB01261,-1
DB00304,DB04876,-1
DB00304,DB04878,-1
DB00305,DB00216,1
DB00305,DB00255,1
DB00305,DB00309,1
DB00305,DB00363,1
DB00305,DB00373,1
DB00305,DB00439,1
DB00305,DB00523,1
DB00305,DB00530,1
DB00305,DB00531,1
DB00305,DB00539,1
DB00305,DB00555,1
DB00305,DB00575,1
DB00305,DB00709,1
DB00305,DB00742,1
DB00305,DB00751,1
DB00305,DB00758,1
DB00305,DB00783,1
DB00305,DB00829,1
DB00305,DB00882,1
DB00305,DB00973,1
DB00305,DB00977,1
DB00305,DB01030,1
DB00305,DB01183,1
DB00305,DB01184,1
DB00305,DB01193,1
DB00305,DB01202,1
DB00305,DB01203,1
DB00305,DB01224,1
DB00305,DB01261,1
DB00305,DB01394,1
DB00305,DB01396,-1
DB00305,DB01590,1
DB00305,DB04817,1
DB00309,DB00305,1
DB00309,DB00363,1
DB00309,DB00531,1
DB00309,DB00607,-1
DB00309,DB00648,-1
DB00309,DB00745,-1
DB00309,DB01396,-1
DB00309,DB02703,1
DB00309,DB04817,1
DB00310,DB00177,1
DB00310,DB00178,1
DB00310,DB00180,1
DB00310,DB00197,-1
DB00310,DB00204,1
DB00310,DB00209,1
DB00310,DB00210,-1
DB00310,DB00214,1
DB00310,DB00244,-1
DB00310,DB00245,1
DB00310,DB00273,1
DB00310,DB00275,1
DB00310,DB00284,-1
DB00310,DB00324,1
DB00310,DB00327,1
DB00310,DB00331,-1
DB00310,DB00332,1
DB00310,DB00346,1
DB00310,DB00350,1
DB00310,DB00368,1
DB00310,DB00373,1
DB00310,DB00374,1
DB00310,DB00375,-1
DB00310,DB00376,1
DB00310,DB00381,1
DB00310,DB00384,1
DB00310,DB00387,1
DB00310,DB00391,1
DB00310,DB00393,1
DB00310,DB00394,1
DB00310,DB00401,1
DB00310,DB00419,-1
DB00310,DB00421,1
DB00310,DB00422,-1
DB00310,DB00424,1
DB00310,DB00436,1
DB00310,DB00437,1
DB00310,DB00454,1
DB00310,DB00461,-1
DB00310,DB00465,-1
DB00310,DB00489,1
DB00310,DB00491,-1
DB00310,DB00492,1
DB00310,DB00497,1
DB00310,DB00519,1
DB00310,DB00521,1
DB00310,DB00524,1
DB00310,DB00528,1
DB00310,DB00531,1
DB00310,DB00533,-1
DB00310,DB00539,1
DB00310,DB00542,1
DB00310,DB00547,1
DB00310,DB00572,1
DB00310,DB00575,1
DB00310,DB00580,-1
DB00310,DB00590,1
DB00310,DB00591,1
DB00310,DB00599,1
DB00310,DB00605,-1
DB00310,DB00611,1
DB00310,DB00612,1
DB00310,DB00633,1
DB00310,DB00647,1
DB00310,DB00652,1
DB00310,DB00654,1
DB00310,DB00668,1
DB00310,DB00670,1
DB00310,DB00672,-1
DB00310,DB00687,1
DB00310,DB00695,1
DB00310,DB00697,1
DB00310,DB00700,1
DB00310,DB00708,1
DB00310,DB00712,-1
DB00310,DB00727,1
DB00310,DB00731,-1
DB00310,DB00732,1
DB00310,DB00742,1
DB00310,DB00744,-1
DB00310,DB00747,1
DB00310,DB00749,-1
DB00310,DB00776,1
DB00310,DB00780,1
DB00310,DB00784,-1
DB00310,DB00795,-1
DB00310,DB00796,1
DB00310,DB00802,1
DB00310,DB00804,1
DB00310,DB00806,1
DB00310,DB00808,1
DB00310,DB00809,1
DB00310,DB00810,1
DB00310,DB00813,1
DB00310,DB00816,1
DB00310,DB00819,1
DB00310,DB00820,1
DB00310,DB00841,1
DB00310,DB00844,1
DB00310,DB00861,-1
DB00310,DB00862,1
DB00310,DB00869,1
DB00310,DB00871,1
DB00310,DB00880,1
DB00310,DB00883,1
DB00310,DB00887,1
DB00310,DB00921,1
DB00310,DB00938,1
DB00310,DB00960,1
DB00310,DB00966,1
DB00310,DB00967,1
DB00310,DB00968,1
DB00310,DB00979,1
DB00310,DB00983,1
DB00310,DB00986,1
DB00310,DB00991,-1
DB00310,DB00999,1
DB00310,DB01001,1
DB00310,DB01009,-1
DB00310,DB01013,1
DB00310,DB01014,-1
DB00310,DB01016,-1
DB00310,DB01018,1
DB00310,DB01020,1
DB00310,DB01021,1
DB00310,DB01024,-1
DB00310,DB01029,1
DB00310,DB01036,1
DB00310,DB01037,1
DB00310,DB01047,1
DB00310,DB01054,1
DB00310,DB01062,1
DB00310,DB01067,-1
DB00310,DB01081,1
DB00310,DB01120,-1
DB00310,DB01132,-1
DB00310,DB01143,1
DB00310,DB01162,1
DB00310,DB01171,1
DB00310,DB01173,1
DB00310,DB01175,1
DB00310,DB01192,1
DB00310,DB01193,1
DB00310,DB01203,1
DB00310,DB01210,1
DB00310,DB01224,1
DB00310,DB01235,1
DB00310,DB01238,1
DB00310,DB01240,1
DB00310,DB01244,1
DB00310,DB01250,-1
DB00310,DB01251,-1
DB00310,DB01252,-1
DB00310,DB01261,-1
DB00310,DB01274,1
DB00310,DB01275,1
DB00310,DB01288,1
DB00310,DB01291,1
DB00310,DB01337,1
DB00310,DB01366,1
DB00310,DB01367,1
DB00310,DB01380,1
DB00310,DB01396,1
DB00310,DB01399,-1
DB00310,DB01407,1
DB00310,DB01410,1
DB00310,DB01452,1
DB00310,DB01551,1
DB00310,DB01600,-1
DB00310,DB01628,-1
DB00310,DB01708,1
DB00310,DB02665,1
DB00310,DB04743,-1
DB00310,DB04817,-1
DB00310,DB04861,1
DB00310,DB04876,-1
DB00310,DB04878,-1
DB00310,DB06262,1
DB00310,DB06694,1
DB00310,DB06700,1
DB00310,DB06712,1
DB00310,DB06781,1
DB00310,DB06802,-1
DB00310,DB07615,-1
DB00313,DB00177,-1
DB00313,DB00178,-1
DB00313,DB00181,1
DB00313,DB00186,1
DB00313,DB00213,-1
DB00313,DB00214,-1
DB00313,DB00216,-1
DB00313,DB00230,1
DB00313,DB00231,1
DB00313,DB00241,1
DB00313,DB00244,1
DB00313,DB00273,1
DB00313,DB00278,-1
DB00313,DB00292,1
DB00313,DB00296,1
DB00313,DB00297,1
DB00313,DB00303,-1
DB00313,DB00323,1
DB00313,DB00327,1
DB00313,DB00338,-1
DB00313,DB00341,1
DB00313,DB00356,1
DB00313,DB00358,-1
DB00313,DB00363,1
DB00313,DB00366,1
DB00313,DB00371,1
DB00313,DB00374,-1
DB00313,DB00391,1
DB00313,DB00395,1
DB00313,DB00402,1
DB00313,DB00408,1
DB00313,DB00413,1
DB00313,DB00423,1
DB00313,DB00425,1
DB00313,DB00427,1
DB00313,DB00433,1
DB00313,DB00434,1
DB00313,DB00446,-1
DB00313,DB00450,1
DB00313,DB00454,1
DB00313,DB00455,1
DB00313,DB00470,1
DB00313,DB00471,-1
DB00313,DB00475,1
DB00313,DB00490,1
DB00313,DB00492,-1
DB00313,DB00494,1
DB00313,DB00497,1
DB00313,DB00514,-1
DB00313,DB00519,-1
DB00313,DB00531,-1
DB00313,DB00542,-1
DB00313,DB00543,1
DB00313,DB00549,-1
DB00313,DB00555,1
DB00313,DB00557,1
DB00313,DB00568,-1
DB00313,DB00593,-1
DB00313,DB00599,1
DB00313,DB00604,-1
DB00313,DB00611,1
DB00313,DB00623,1
DB00313,DB00628,1
DB00313,DB00633,1
DB00313,DB00647,1
DB00313,DB00652,1
DB00313,DB00656,1
DB00313,DB00660,1
DB00313,DB00672,-1
DB00313,DB00679,1
DB00313,DB00690,1
DB00313,DB00697,1
DB00313,DB00708,1
DB00313,DB00712,-1
DB00313,DB00731,-1
DB00313,DB00736,-1
DB00313,DB00737,1
DB00313,DB00744,-1
DB00313,DB00745,-1
DB00313,DB00747,1
DB00313,DB00749,-1
DB00313,DB00753,1
DB00313,DB00755,-1
DB00313,DB00757,-1
DB00313,DB00758,-1
DB00313,DB00776,-1
DB00313,DB00783,-1
DB00313,DB00784,-1
DB00313,DB00796,-1
DB00313,DB00802,1
DB00313,DB00842,1
DB00313,DB00843,-1
DB00313,DB00844,1
DB00313,DB00850,1
DB00313,DB00853,1
DB00313,DB00906,1
DB00313,DB00909,1
DB00313,DB00921,1
DB00313,DB00934,1
DB00313,DB00943,-1
DB00313,DB00949,1
DB00313,DB00961,1
DB00313,DB00962,1
DB00313,DB00967,1
DB00313,DB00969,-1
DB00313,DB00980,1
DB00313,DB00983,-1
DB00313,DB00985,1
DB00313,DB00988,-1
DB00313,DB00991,-1
DB00313,DB00996,1
DB00313,DB01002,1
DB00313,DB01016,-1
DB00313,DB01018,1
DB00313,DB01029,-1
DB00313,DB01036,-1
DB00313,DB01037,-1
DB00313,DB01041,1
DB00313,DB01067,-1
DB00313,DB01068,1
DB00313,DB01069,1
DB00313,DB01080,1
DB00313,DB01081,1
DB00313,DB01083,-1
DB00313,DB01095,-1
DB00313,DB01100,1
DB00313,DB01106,1
DB00313,DB01120,-1
DB00313,DB01132,-1
DB00313,DB01156,-1
DB00313,DB01166,1
DB00313,DB01171,-1
DB00313,DB01173,1
DB00313,DB01175,1
DB00313,DB01176,1
DB00313,DB01177,-1
DB00313,DB01181,-1
DB00313,DB01189,1
DB00313,DB01192,1
DB00313,DB01198,1
DB00313,DB01202,1
DB00313,DB01215,1
DB00313,DB01219,1
DB00313,DB01221,1
DB00313,DB01224,1
DB00313,DB01235,1
DB00313,DB01236,1
DB00313,DB01238,1
DB00313,DB01239,1
DB00313,DB01240,-1
DB00313,DB01267,1
DB00313,DB01274,-1
DB00313,DB01440,1
DB00313,DB01452,1
DB00313,DB01544,1
DB00313,DB01545,1
DB00313,DB01551,1
DB00313,DB01558,1
DB00313,DB01563,1
DB00313,DB01588,1
DB00313,DB01589,1
DB00313,DB01595,1
DB00313,DB01598,-1
DB00313,DB01623,1
DB00313,DB02546,1
DB00313,DB04844,1
DB00313,DB04876,-1
DB00313,DB05109,-1
DB00313,DB05265,-1
DB00313,DB05271,1
DB00313,DB06148,-1
DB00313,DB06288,1
DB00313,DB06700,1
DB00315,DB00216,1
DB00315,DB00248,1
DB00315,DB00277,-1
DB00315,DB00300,-1
DB00315,DB00363,1
DB00315,DB00377,1
DB00315,DB00379,-1
DB00315,DB00391,1
DB00315,DB00408,1
DB00315,DB00433,1
DB00315,DB00450,1
DB00315,DB00454,1
DB00315,DB00490,1
DB00315,DB00514,1
DB00315,DB00543,1
DB00315,DB00601,1
DB00315,DB00623,1
DB00315,DB00656,1
DB00315,DB00669,1
DB00315,DB00679,1
DB00315,DB00757,1
DB00315,DB00780,-1
DB00315,DB00813,1
DB00315,DB00831,1
DB00315,DB00850,1
DB00315,DB00889,1
DB00315,DB00918,1
DB00315,DB00934,1
DB00315,DB00952,1
DB00315,DB00953,1
DB00315,DB00998,1
DB00315,DB01037,-1
DB00315,DB01069,1
DB00315,DB01100,1
DB00315,DB01168,1
DB00315,DB01171,-1
DB00315,DB01175,1
DB00315,DB01224,1
DB00315,DB01233,1
DB00315,DB01238,1
DB00315,DB01239,1
DB00315,DB01267,1
DB00315,DB01367,-1
DB00315,DB01608,1
DB00315,DB01623,1
DB00315,DB02665,-1
DB00315,DB06262,1
DB00315,DB06288,1
DB00315,DB06700,1
DB00319,DB00301,1
DB00319,DB00445,-1
DB00319,DB00479,-1
DB00319,DB00512,1
DB00319,DB00684,-1
DB00319,DB00798,-1
DB00319,DB01024,-1
DB00319,DB01032,1
DB00319,DB01082,-1
DB00319,DB01172,-1
DB00319,DB01177,-1
DB00323,DB00181,1
DB00323,DB00186,1
DB00323,DB00230,1
DB00323,DB00231,1
DB00323,DB00241,1
DB00323,DB00255,-1
DB00323,DB00273,1
DB00323,DB00292,1
DB00323,DB00296,1
DB00323,DB00297,1
DB00323,DB00313,1
DB00323,DB00327,1
DB00323,DB00341,1
DB00323,DB00356,1
DB00323,DB00363,1
DB00323,DB00366,1
DB00323,DB00371,1
DB00323,DB00391,1
DB00323,DB00395,1
DB00323,DB00402,1
DB00323,DB00408,1
DB00323,DB00413,1
DB00323,DB00423,1
DB00323,DB00425,1
DB00323,DB00427,1
DB00323,DB00433,1
DB00323,DB00434,1
DB00323,DB00450,1
DB00323,DB00454,1
DB00323,DB00455,1
DB00323,DB00470,1
DB00323,DB00475,1
DB00323,DB00490,1
DB00323,DB00494,1
DB00323,DB00497,1
DB00323,DB00543,1
DB00323,DB00555,1
DB00323,DB00557,1
DB00323,DB00575,1
DB00323,DB00593,1
DB00323,DB00599,1
DB00323,DB00611,1
DB00323,DB00623,1
DB00323,DB00628,1
DB00323,DB00633,1
DB00323,DB00647,1
DB00323,DB00652,1
DB00323,DB00656,1
DB00323,DB00660,1
DB00323,DB00679,1
DB00323,DB00690,1
DB00323,DB00697,1
DB00323,DB00708,1
DB00323,DB00737,1
DB00323,DB00747,1
DB00323,DB00753,1
DB00323,DB00780,1
DB00323,DB00802,1
DB00323,DB00813,1
DB00323,DB00818,1
DB00323,DB00829,1
DB00323,DB00831,1
DB00323,DB00841,-1
DB00323,DB00842,1
DB00323,DB00844,1
DB00323,DB00850,1
DB00323,DB00906,1
DB00323,DB00909,1
DB00323,DB00921,1
DB00323,DB00934,1
DB00323,DB00949,1
DB00323,DB00961,1
DB00323,DB00962,1
DB00323,DB00967,1
DB00323,DB00968,-1
DB00323,DB00980,1
DB00323,DB00985,1
DB00323,DB00988,-1
DB00323,DB00996,1
DB00323,DB01002,1
DB00323,DB01018,1
DB00323,DB01037,1
DB00323,DB01041,1
DB00323,DB01065,1
DB00323,DB01068,1
DB00323,DB01069,1
DB00323,DB01080,1
DB00323,DB01081,1
DB00323,DB01100,1
DB00323,DB01106,1
DB00323,DB01114,1
DB00323,DB01141,-1
DB00323,DB01171,1
DB00323,DB01173,1
DB00323,DB01175,1
DB00323,DB01176,1
DB00323,DB01189,1
DB00323,DB01192,1
DB00323,DB01198,1
DB00323,DB01202,1
DB00323,DB01215,1
DB00323,DB01219,1
DB00323,DB01221,1
DB00323,DB01224,1
DB00323,DB01235,1
DB00323,DB01236,1
DB00323,DB01238,1
DB00323,DB01239,1
DB00323,DB01267,1
DB00323,DB01367,1
DB00323,DB01440,1
DB00323,DB01452,1
DB00323,DB01544,1
DB00323,DB01545,1
DB00323,DB01551,1
DB00323,DB01558,1
DB00323,DB01563,1
DB00323,DB01588,1
DB00323,DB01589,1
DB00323,DB01595,1
DB00323,DB01623,1
DB00323,DB02665,1
DB00323,DB04844,1
DB00323,DB05271,1
DB00323,DB06288,1
DB00323,DB06700,1
DB00324,DB00136,-1
DB00324,DB00210,1
DB00324,DB00214,1
DB00324,DB00218,1
DB00324,DB00244,1
DB00324,DB00255,1
DB00324,DB00310,1
DB00324,DB00358,1
DB00324,DB00375,-1
DB00324,DB00436,1
DB00324,DB00461,1
DB00324,DB00465,1
DB00324,DB00524,1
DB00324,DB00533,1
DB00324,DB00545,1
DB00324,DB00580,1
DB00324,DB00605,1
DB00324,DB00607,-1
DB00324,DB00621,1
DB00324,DB00624,1
DB00324,DB00648,-1
DB00324,DB00674,1
DB00324,DB00681,1
DB00324,DB00695,1
DB00324,DB00712,1
DB00324,DB00732,1
DB00324,DB00744,1
DB00324,DB00745,-1
