drug,dec,enh,status,decrease ( -1 ),increase (+1),def,absloute def,ratio of deg and enh,dose need resample,number of resmple,need more real,number of real 
DB01250,40,61,,,,21,21,1.525,0,0,0,0
DB01251,32,21,,,,-11,11,1.523809524,0,0,0,0
DB01252,30,6,,,,-24,24,5,0,0,0,0
DB01256,3,1,,,,-2,2,3,0,0,0,0
DB01259,32,46,,,,14,14,1.4375,0,0,0,0
DB01261,39,73,,,,34,34,1.871794872,0,0,0,0
DB01262,1,3,,,,2,2,3,0,0,0,0
DB01267,27,175,,,,148,148,6.481481481,0,0,0,0
DB01273,15,23,,,,8,8,1.533333333,0,0,0,0
DB01274,24,37,,,,13,13,1.541666667,0,0,0,0
DB01275,26,70,,,,44,44,2.692307692,0,0,0,0
DB01280,2,3,,,,1,1,1.5,0,0,0,0
DB01288,8,35,,,,27,27,4.375,0,0,0,0
DB01291,9,16,,,,7,7,1.777777778,0,0,0,0
DB01296,9,14,,,,5,5,1.555555556,0,0,0,0
DB01327,0,1,,,,1,1,0.5,0,0,0,0
DB01331,0,1,,,,1,1,0.5,0,0,0,0
DB01337,12,60,,,,48,48,5,0,0,0,0
DB01362,0,1,,,,1,1,0.5,0,0,0,0
DB01364,5,23,,,,18,18,4.6,0,0,0,0
DB01366,8,35,,,,27,27,4.375,0,0,0,0
DB01367,13,130,,,,117,117,10,1,0,0,0
DB01377,48,24,,,1,-24,24,2,0,0,0,0
DB01380,22,57,,,,35,35,2.590909091,0,0,0,0
DB01393,5,14,,,,9,9,2.8,0,0,0,0
DB01394,11,84,,,,73,73,7.636363636,0,0,0,0
DB01396,90,76,,,,-14,14,1.184210526,0,0,0,0
DB01399,36,61,,,,25,25,1.694444444,0,0,0,0
DB01400,20,52,,,,32,32,2.6,0,0,0,0
DB01406,16,6,,,,-10,10,2.666666667,0,0,0,0
DB01407,11,35,,,,24,24,3.181818182,0,0,0,0
DB01410,6,57,,,,51,51,9.5,1,0,0,0
DB01416,3,1,,,,-2,2,3,0,0,0,0
DB01436,0,1,,,,1,1,0.5,0,0,0,0
DB01438,0,1,,,,1,1,0.5,0,0,0,0
DB01440,0,117,,,,117,117,0.5,0,0,0,0
DB01454,40,18,,,,-22,22,2.222222222,0,0,0,0
DB01544,19,118,,,,99,99,6.210526316,0,0,0,0
DB01558,13,118,,,,105,105,9.076923077,1,0,0,0
DB01559,10,2,,,,-8,8,5,0,0,0,0
DB01576,42,25,,,,-17,17,1.68,0,0,0,0
DB01577,43,46,,,,3,3,1.069767442,0,0,0,0
DB01586,6,8,,,,2,2,1.333333333,0,0,0,0
DB01590,18,60,,,,42,42,3.333333333,0,0,0,0
DB01592,10,4,,,,-6,6,2.5,0,0,0,0
DB01598,1,1,,,,0,0,1,0,0,0,0
DB01600,36,62,,,,26,26,1.722222222,0,0,0,0
DB01607,8,1,,,,-7,7,8,0,0,0,0
DB01608,6,30,,,,24,24,5,0,0,0,0
DB01611,10,8,,,,-2,2,1.25,0,0,0,0
DB01620,6,1,,,,-5,5,6,0,0,0,0
DB01628,43,56,,,,13,13,1.302325581,0,0,0,0
DB01708,5,47,,,,42,42,9.4,1,0,0,0
DB02300,1,1,,,,0,0,1,0,0,0,0
DB02546,17,26,,,,9,9,1.529411765,0,0,0,0
DB02701,4,3,,,,-1,1,1.333333333,0,0,0,0
DB02703,36,187,,,,151,151,5.194444444,0,0,0,0
DB02925,23,55,,,,32,32,2.391304348,0,0,0,0
DB03783,18,1,,,1,-17,17,18,1,0,0,0
DB04165,3,4,,,,1,1,1.333333333,0,0,0,0
DB04339,0,8,,,,8,8,0.5,0,0,0,0
DB04540,0,26,,,,26,26,0.5,0,0,0,0
DB04743,36,88,,,,52,52,2.444444444,0,0,0,0
DB04817,32,88,,,,56,56,2.75,0,0,0,0
DB04835,3,1,,,,-2,2,3,0,0,0,0
DB04845,4,4,,,,0,0,1,0,0,0,0
DB04861,18,78,,,,60,60,4.333333333,0,0,0,0
DB04876,35,17,,,,-18,18,2.058823529,0,0,0,0
DB04878,30,6,,,,-24,24,5,0,0,0,0
DB05109,18,6,,,,-12,12,3,0,0,0,0
DB05265,6,6,,,,0,0,1,0,0,0,0
DB05266,0,18,,,,18,18,0.5,0,0,0,0
DB06148,52,29,,,,-23,23,1.793103448,0,0,0,0
DB06262,10,31,,,,21,21,3.1,0,0,0,0
DB06698,37,5,,,,-32,32,7.4,0,0,0,0
DB06700,24,159,,,,135,135,6.625,0,0,0,0
DB06701,2,13,,,,11,11,6.5,0,0,0,0
DB06710,5,26,,,,21,21,5.2,0,0,0,0
DB06777,9,1,,,,-8,8,9,0,0,0,0
DB06802,36,61,,,,25,25,1.694444444,0,0,0,0
DB07615,42,89,,,,47,47,2.119047619,0,0,0,0
DB08801,6,3,,,,-3,3,2,0,0,0,0
